Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
4TWd1YCy5fLTqor13pnZJPXibJmnxDgjhRVVCgN7cyuRYFFY4vHWQENCfCKvqJr7Xq4N3CfEktfyx28kBYwU3btz,1762972352,2025-11-12T18:32:32.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,173227993229,in,150.84,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
iFc6MnHZebMMqQHTrEA76AR5CSpdkY345Qqxz2yxNSQ6FiANWLKURdNek7e7vGAoENAZsLg2quECNENqpteGeoa,1762944439,2025-11-12T10:47:19.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,205887465907,in,179.28,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
46qnVfL25xK8gYb7sARpRMk86HdNqTsqMRFH6zCfY7ttNcgD5tJvopmCqZjsZe29Zf1jQuPSpad9CgGZ93JCEuDd,1762916506,2025-11-12T03:01:46.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,223037741819,in,194.21,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
4EA3WaqFJArb6pGyjfDqCmShPT6fVirVM14t2nwLxsunXaf8JvFg26hvqHvCZ2B3FHF8wZnKy7fANPPtyypsAWcR,1762888238,2025-11-11T19:10:38.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,135006026874,in,117.56,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
5oLKxZL1RdFUaomrA3kSTsu2nP72AVobiQRitwa7VkALssU73stX9aMshCbLUrNTEfYwC1Y2S8PKPuGgW4RCTUn8,1762860439,2025-11-11T11:27:19.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,209604864932,in,182.52,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
hb5W5bMi9nvJ2peU2ukPicNRbJnzRhHpoFCigJfrhrwAs4w6zjmNgGfqqsXixvN6GitGKm1quY7FkQJippgsEdq,1762832736,2025-11-11T03:45:36.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,210501752458,in,183.3,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
3Naufi4CVpfVZ34XSQbKjY8nbUjUBD1EMfm6Gvj3o7FVfRRRGCoox3LsnP1QkfWkbRqdtuKPCqgcn4FoUXThhqZ1,1762801548,2025-11-10T19:05:48.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,115323524738,in,100.42,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
4TZPS8Nd6JX8iVgLcZporbH6xNB4grJ7WUDvvz5UL5YReNg7YqDxPiEuB14ThZSg1FTdU1G2bh4PqAyojDrSpnvq,1762743418,2025-11-10T02:56:58.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,182136134547,in,158.6,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
5Yi6tw5du5DTRtzVJZZ2W5xcSU2y7ykWoTMGGCDU6HywLHcShaREM1WgBL3YVHk9jTyKSo2RB9BQB1CpB5Rs54Hu,1762685436,2025-11-09T10:50:36.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,120546069111,in,104.97,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
2U4xf7jPpPg1dpejxjfNtHEqzWpLjaYfu5SLCkj1MbQrSzbjmqqT5NqVMdL533KTeFSJTTAYqgrrVbFtp9Z9mYDE,1762627295,2025-11-08T18:41:35.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,118588461687,in,103.26,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
3n9NrBpK8Ab7YmhsBXhfx4Cboq3iZYuUpoYyc6FABuUevnXHWJ8bMnYiiLsUBnPz4cmmMs3ink63rNKe2Kzhsc1s,1762569309,2025-11-08T02:35:09.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,164485061991,in,143.23,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
FFJEDpHpp3GAnxHGhFMBLkiQe11NQGptvecw98kHoimAkonstuRyTa14GdJFBCRDoEeGhHQrEjbticcNRiEJAPr,1762512648,2025-11-07T10:50:48.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,174533371002,in,151.98,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
2kKWUgvmvREAPsoH55F9fZpBLaABFYq3BBe1CvqqDFpENNmydSrPrJbu18JE7ezCB8zTRhZZu2WoBbRP8vRMWeQU,1762456194,2025-11-06T19:09:54.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,163761995217,in,142.6,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
386kpQVQ6Rv9FZWWaDEnFWqdG2asGn3qhvtymCazg8Xjs9ciQhfoaMUbpa2zTtmrQJ7cZjeBFmUqtBzBovDfHZkr,1762397250,2025-11-06T02:47:30.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,142085261602,in,123.72,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
2SfLzZ7kbdw7zouDTBfa8CReRp59qPbtMgshe8X2jiX5oPSZ8bscdKbW95BaCegX1ySZqnhzpWbRemyAqwbiT3ZU,1762338788,2025-11-05T10:33:08.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,129293477898,in,112.58,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
2HGR2U7MVSdpw8bMN4RHjxeXhScoZpM3Nrdf72ZcjWazwjnZDb6SzFRL9UmKRu5SytZuGM7Un8jZPHHtNQ7dDJj5,1762281244,2025-11-04T18:34:04.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,126010286325,in,109.73,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
5dXJjhRgjbB2hJggREHGBFi9f2HPJue4RAWCibn5VyTcL7etAHSZ2jFXELErB3G49T8yrrtMTAFBLkFCbYUE4gar,1762209094,2025-11-03T22:31:34.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,135748611169,in,118.21,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
62krELDfX8nMfnRsHz4iMJpFZHCqL8ZpHgLdDmAH26mwAbE8T6ik2dYBx6uqZakhadmLTYfnQJAVQ4GNq4ybrBzh,1762151232,2025-11-03T06:27:12.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,170726191377,in,148.66,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
4GkWYkxZCUYpcC8MWv7ucreaHTqZiTe5zi5TDzZUC4YSw3nfnAq9UZxtvH4fakkJGP69ZN2T7xEWbHNLyvx2vh34,1762092753,2025-11-02T14:12:33.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,142714070227,in,124.27,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
3ptf6AMBn1LXyrrokb2wxrUcPUsuGhL6dBKX86FvG9eEfEEAqjScue8SuduGijGSuWwXCTZoAF7byoTDtBFSqXE9,1762034650,2025-11-01T22:04:10.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,184876624208,in,160.98,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
52teQLQfkx8rJZpfNt2S3Fhy8Det8kDPE6vhY92iSpFaHjB3qb2kT7TYMLKBMx7ntrNMcDjoxpzQBq8kTcEjQ2X7,1761977010,2025-11-01T06:03:30.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,199818549947,in,174,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
