time,coin,dir,px,sz,ntl,fee,closedPnl
10/27/2025 - 18:23:25,SUI,Open Short,2.6712583577,14645.7,39122.44852936689,15.023014,-15.023014
10/27/2025 - 18:39:06,SUI,Close Short,2.6737946469,14645.7,39159.59426010333,15.037278,-52.305413
10/27/2025 - 19:43:49,SUI,Open Short,2.6745720861,14376.7,38451.52051023387,14.765376,-14.765376
10/27/2025 - 20:47:18,SUI,Close Short,2.6433054115,14376.7,38002.00890951206,14.592763,434.888846
10/27/2025 - 21:12:13,SUI,Open Long,2.6263,16232.2,42630.626860000004,4.911044,-4.911044
10/27/2025 - 21:24:48,SUI,Close Long,2.6245648261,16232.2,42602.46117022042,16.359334,-44.520987000000005
10/28/2025 - 00:02:45,SUI,Open Long,2.5999578147,16213.7,42154.93602020139,16.187488,-16.187488
10/28/2025 - 00:09:41,SUI,Close Long,2.5960627352,16213.7,42091.78236971224,16.163231,-79.190176
10/28/2025 - 00:15:15,SUI,Open Long,2.5977028617,15850.6,41175.14897966202,15.811253,-15.811253
10/28/2025 - 00:15:57,SUI,Close Long,2.5885903871,15850.6,41030.71078976726,15.755786,-160.148616
10/28/2025 - 00:16:21,SUI,Open Long,2.5911085666,15238.2,39483.83055956412,15.161785,-15.161785
10/28/2025 - 01:00:52,SUI,Close Long,2.6073176136,15238.2,39730.82725955952,15.256627,231.870613
10/28/2025 - 01:02:58,SUI,Open Short,2.6079343418,15945.6,41585.077840606085,15.96866,-15.96866
10/28/2025 - 01:09:26,SUI,Close Short,2.611154363,15945.6,41636.4230106528,15.988384,-67.402786
10/28/2025 - 03:32:29,SUI,Open Long,2.6036839609,15663.6,40783.064089953245,15.660689,-15.660689
10/28/2025 - 03:49:55,SUI,Close Long,2.5943019306,15663.6,40636.10772014616,15.604256,-162.498584
10/28/2025 - 09:55:59,SUI,Open Short,2.6316956988,14816.7,38993.04566040997,14.973326,-14.973326
10/28/2025 - 10:54:14,SUI,Close Short,2.6332188348,14816.7,39015.61350958116,14.981988,-37.634275
10/28/2025 - 11:01:09,XPL,Open Long,0.3693531169,103545,38244.6684894105,14.685946,-14.685946
10/28/2025 - 12:34:51,XPL,Close Long,0.369030451,103545,38211.258048794996,14.673121,-48.071456000000005
10/28/2025 - 12:42:32,XPL,Open Long,0.3681894986,102828,37860.1897620408,14.538305,-14.538305
10/28/2025 - 12:44:54,XPL,Close Long,0.3670679718,102828,37744.8654042504,14.494025,-129.767117
10/28/2025 - 12:47:54,XPL,Open Long,0.3656483203,99577,36410.1627905131,13.981497,-13.981497
10/28/2025 - 12:53:36,XPL,Close Long,0.3637840724,99577,36224.526577374796,13.910209,-199.51452500000002
10/29/2025 - 16:21:41,XPL,Open Long,0.3541697507,91941,32562.7210491087,12.50408,-12.50408
10/29/2025 - 16:30:51,XPL,Close Long,0.353966653,91941,32544.048043473,12.49691,-31.100899
10/29/2025 - 16:38:12,XPL,Open Long,0.3520498411,91266,32130.1807978326,12.337986,-12.337986
10/29/2025 - 16:46:49,XPL,Close Long,0.3509622698,91266,32030.9225155668,12.299871,-111.481385
10/29/2025 - 16:55:22,XPL,Open Long,0.3517152321,87815,30885.873106861498,11.860166,-11.860166
10/29/2025 - 17:05:15,XPL,Close Long,0.3495852787,87815,30698.8312490405,11.788346,-198.809821
10/29/2025 - 17:07:58,XPL,Open Long,0.34928,82456,28800.231679999997,11.059288,-11.059288
